"","class_code","n","proportion","sample"
"1","=",1288,0.732650739476678,"CFA-MM1"
"2","j",38,0.0216154721274175,"CFA-MM1"
"3","k",6,0.00341296928327645,"CFA-MM1"
"4","u",249,0.141638225255973,"CFA-MM1"
"5","x",177,0.100682593856655,"CFA-MM1"
"6","=",1774,0.784955752212389,"CFA-MM2"
"7","j",37,0.0163716814159292,"CFA-MM2"
"8","k",6,0.00265486725663717,"CFA-MM2"
"9","u",252,0.111504424778761,"CFA-MM2"
"10","x",191,0.0845132743362832,"CFA-MM2"
"11","=",1243,0.71477860839563,"CFA-OS1"
"12","j",40,0.0230017251293847,"CFA-OS1"
"13","k",6,0.00345025876940771,"CFA-OS1"
"14","u",264,0.151811385853939,"CFA-OS1"
"15","x",186,0.106958021851639,"CFA-OS1"
"16","=",1165,0.72360248447205,"CFA-HS1"
"17","j",38,0.0236024844720497,"CFA-HS1"
"18","k",6,0.00372670807453416,"CFA-HS1"
"19","u",225,0.139751552795031,"CFA-HS1"
"20","x",176,0.109316770186335,"CFA-HS1"
"21","=",913,0.6875,"CFA-HS2"
"22","j",40,0.0301204819277108,"CFA-HS2"
"23","k",7,0.0052710843373494,"CFA-HS2"
"24","u",214,0.161144578313253,"CFA-HS2"
"25","x",154,0.115963855421687,"CFA-HS2"
"26","=",1397,0.735263157894737,"CFA-MM3"
"27","j",45,0.0236842105263158,"CFA-MM3"
"28","k",6,0.0031578947368421,"CFA-MM3"
"29","u",265,0.139473684210526,"CFA-MM3"
"30","x",187,0.098421052631579,"CFA-MM3"
"31","=",1267,0.737914967967385,"CFA-MM4"
"32","j",40,0.023296447291788,"CFA-MM4"
"33","k",6,0.0034944670937682,"CFA-MM4"
"34","u",243,0.141525917297612,"CFA-MM4"
"35","x",161,0.0937682003494467,"CFA-MM4"
"36","=",936,0.696428571428571,"CFA-HS3"
"37","j",37,0.0275297619047619,"CFA-HS3"
"38","k",4,0.00297619047619048,"CFA-HS3"
"39","u",216,0.160714285714286,"CFA-HS3"
"40","x",151,0.11235119047619,"CFA-HS3"
