"","class_code","n","proportion","sample"
"1","=",1214,0.688598979013046,"CFA-MM1"
"2","j",55,0.0311968235961429,"CFA-MM1"
"3","k",44,0.0249574588769144,"CFA-MM1"
"4","u",446,0.252977878615995,"CFA-MM1"
"5","x",4,0.0022688598979013,"CFA-MM1"
"6","=",1166,0.661748013620885,"CFA-OS1"
"7","j",59,0.0334846765039728,"CFA-OS1"
"8","k",48,0.0272417707150965,"CFA-OS1"
"9","u",486,0.275822928490352,"CFA-OS1"
"10","x",3,0.00170261066969353,"CFA-OS1"
"11","=",1029,0.638733705772812,"CFA-HS1"
"12","j",63,0.0391061452513966,"CFA-HS1"
"13","k",40,0.0248292985723153,"CFA-HS1"
"14","u",476,0.295468653010552,"CFA-HS1"
"15","x",3,0.00186219739292365,"CFA-HS1"
"16","=",813,0.601331360946746,"CFA-HS2"
"17","j",57,0.0421597633136095,"CFA-HS2"
"18","k",36,0.0266272189349112,"CFA-HS2"
"19","u",443,0.327662721893491,"CFA-HS2"
"20","x",3,0.0022189349112426,"CFA-HS2"
"21","=",1575,0.723805147058823,"CFA-MM2"
"22","j",64,0.0294117647058824,"CFA-MM2"
"23","k",48,0.0220588235294118,"CFA-MM2"
"24","u",487,0.223805147058824,"CFA-MM2"
"25","x",2,0.000919117647058824,"CFA-MM2"
"26","=",1376,0.683217477656405,"CFA-MM3"
"27","j",65,0.0322740814299901,"CFA-MM3"
"28","k",49,0.0243296921549156,"CFA-MM3"
"29","u",520,0.258192651439921,"CFA-MM3"
"30","x",4,0.00198609731876862,"CFA-MM3"
"31","=",1174,0.680974477958237,"CFA-MM4"
"32","j",63,0.0365429234338747,"CFA-MM4"
"33","k",45,0.0261020881670534,"CFA-MM4"
"34","u",439,0.254640371229698,"CFA-MM4"
"35","x",3,0.00174013921113689,"CFA-MM4"
"36","=",870,0.610955056179775,"CFA-HS3"
"37","j",62,0.0435393258426966,"CFA-HS3"
"38","k",36,0.0252808988764045,"CFA-HS3"
"39","u",453,0.31811797752809,"CFA-HS3"
"40","x",3,0.00210674157303371,"CFA-HS3"
