file,Sensitivity,Precision
ENSEMBL_FULL_bambu_exon,84.2,79.4
ENSEMBL_FULL_bambu_transcript,65.5,55.5
ENSEMBL_FULL_bambu_locus,64.7,65.7
ENSEMBL_FULL_stringtie_exon,62.2,85.7
ENSEMBL_FULL_stringtie_transcript,41.9,54.4
ENSEMBL_FULL_stringtie_locus,53.0,66.4
ENSEMBL_FILTER_bambu_exon,83.7,97.6
ENSEMBL_FILTER_bambu_transcript,65.5,93.0
ENSEMBL_FILTER_bambu_locus,64.7,95.6
ENSEMBL_FILTER_stringtie_exon,61.0,92.7
ENSEMBL_FILTER_stringtie_transcript,41.9,70.2
ENSEMBL_FILTER_stringtie_locus,53.0,88.7
REFSEQ_FILTER_bambu_exon,76.3,99.0
REFSEQ_FILTER_bambu_transcript,60.8,97.7
REFSEQ_FILTER_bambu_locus,60.1,98.8
REFSEQ_FILTER_stringtie_exon,54.2,96.1
REFSEQ_FILTER_stringtie_transcript,36.2,84.9
REFSEQ_FILTER_stringtie_locus,45.3,94.6
REFSEQ_FULL_bambu_exon,76.6,85.2
REFSEQ_FULL_bambu_transcript,60.8,71.8
REFSEQ_FULL_bambu_locus,60.1,76.2
REFSEQ_FULL_stringtie_exon,54.7,91.3
REFSEQ_FULL_stringtie_transcript,36.2,72.2
REFSEQ_FULL_stringtie_locus,45.3,74.9
UU_FILTER_bambu_exon,80.8,99.7
UU_FILTER_bambu_transcript,65.5,99.2
UU_FILTER_bambu_locus,72.5,99.2
UU_FILTER_stringtie_exon,55.3,98.3
UU_FILTER_stringtie_transcript,36.6,91.6
UU_FILTER_stringtie_locus,51.3,96.4
UU_FULL_bambu_exon,80.9,91.5
UU_FULL_bambu_transcript,65.5,84.4
UU_FULL_bambu_locus,72.5,75.6
UU_FULL_stringtie_exon,55.6,95.2
UU_FULL_stringtie_transcript,36.6,83.3
UU_FULL_stringtie_locus,51.3,78.0
