TXNAME	GENEID	Bear_R1.sorted	CML10_R1.sorted	Chipie_R1.sorted	ChrystalPoumon_R1.sorted	ChrystalRate_R1.sorted	Popsi_R1.sorted	Twiny_R1.sorted	Vico_R1.sorted

BambuTx3	ENSCAFG00805000014	103.57825	531.83371	648.8915	9.80214	6.61406	195.28072	6.48921	3.78839
BambuTx6	ENSCAFG00805000014	43.57396	4.15814	324.90063	119.86232	81.37827	4.95967	1.27503	6.26309
BambuTx17	ENSCAFG00805000658	39.66171	22.84963	8	116.19071	31.82305	17	0	28
BambuTx21	ENSCAFG00805001099	125	387	467.63309	579.90521	408.97059	272.92896	347.56364	373.14488
BambuTx22	ENSCAFG00805001161	0	0	570.99731	0	0	1	0	0
BambuTx24	ENSCAFG00805001312	109.73934	144.08517	520.20967	380.01768	66.96165	112.99141	111.93894	172.21223
BambuTx34	BambuGene670	17	3.58333	19	20	10	0	4.68717	16.8
BambuTx36	ENSCAFG00805002782	2	6.66667	90	82.74081	17	40.28453	12	40
BambuTx41	ENSCAFG00805004676	0	0	53.86931	0	7	0	0	1
BambuTx71	ENSCAFG00805000050	18.85061	228.78985	137.0709	17.85669	0	101.40902	145.71571	0
BambuTx76	ENSCAFG00805001264	27.80308	0	6	0.16667	0	21.16797	7.32379	0
BambuTx77	BambuGene715	41	85	85	122	88	37	96	73
BambuTx82	ENSCAFG00805001692	7.34277	18.59157	26.22753	41.22834	10.48215	16.03824	60.56131	6.86408
BambuTx88	ENSCAFG00805003275	35	192.08696	677.25806	364.58444	210.95455	136.06154	43	256.78125
BambuTx101	ENSCAFG00805001348	18.17584	14.61086	29.4206	52.21007	4.16715	0	8.53159	23.71741
BambuTx102	ENSCAFG00805001348	100.77962	38.89068	58.02809	136.79101	17.50778	9.85174	24.70399	104.05782
BambuTx113	ENSCAFG00805002961	2.00964	7.35836	5.03838	6	4	9	16.05126	3
BambuTx116	BambuGene130	9	10.81974	31.79444	6	5	1	4	5
BambuTx118	ENSCAFG00805003397	245.0154	388.4411	859.21126	889.42204	325.6736	330.34742	720.00852	388.41707
BambuTx119	ENSCAFG00805003454	26.37353	17.8135	18.94737	4.46655	2	6.75	19.55266	3.41984
BambuTx136	ENSCAFG00805003530	41	196.57332	41	6.31806	1.88978	105.97812	14.40645	3
BambuTx140	ENSCAFG00805014213	58	67	135.792	91.86585	73.80952	7	39.6	46
BambuTx142	ENSCAFG00805016400	1.01645	11.63378	91.96202	73.74583	17.13821	7.21875	8.26341	22.0874
BambuTx143	BambuGene150	3.42857	12	39.15152	45.825	13	3.5	36.83333	11.07692
BambuTx152	ENSCAFG00805019093	93.9293	95.98842	169.71762	498.93463	104.13313	135.79518	185.99967	107.05057
BambuTx153	ENSCAFG00805019093	38.06528	19.28397	185.67204	41.25321	21.89869	33.65863	64.06251	9.00875
BambuTx154	ENSCAFG00805019093	14	39	30.49077	289.38837	76.44979	27	68.39154	48
BambuTx157	ENSCAFG00805020131	452.62392	293	370	1270.6694	240	311.77689	588.62351	211.76163
BambuTx162	ENSCAFG00805021361	241.9927	688.40684	842.99921	1104.40519	631.24348	205.26531	535.41176	651.95122
BambuTx163	ENSCAFG00805021361	15.0073	44.59316	73.99366	38.59481	2.75652	76.73469	19.58824	8.04878
BambuTx167	ENSCAFG00805021856	171	461	291	488	202	279.61017	278	121
BambuTx175	BambuGene806	0.5	4	26	0	0	4	0	0
BambuTx180	ENSCAFG00805006139	40.09352	207.20139	229.66339	90.9072	34.09532	53.8571	172.25785	35.33019
BambuTx200	ENSCAFG00805010368	22.74886	47.91008	53.40226	76.30585	23.22385	55.79754	100.77952	27.17295
BambuTx203	ENSCAFG00805011693	158.98346	76.59833	64.12359	463.44106	215.30856	0	75.19338	103.48692
BambuTx210	BambuGene209	11.47059	16.15385	86.97674	29.25	22.75	0	21.3125	35.64516
BambuTx211	BambuGene209	27.52941	18.84615	133.02326	22.75	55.25	6	9.6875	29.35484
BambuTx224	ENSCAFG00805015212	297.28216	128.62984	83.80961	223.98088	76.1786	7.96924	193.75767	73.68797
BambuTx226	ENSCAFG00805000165	10.91358	15.88404	15.76977	21.50834	27.52561	11.90516	38.12802	11.68313
BambuTx227	ENSCAFG00805000380	44.11648	27.40325	435.49798	0	0	24.66025	24.76278	0
BambuTx247	ENSCAFG00805004087	47.46961	3.10659	77.52011	0	26.76193	12.1722	4.67245	12.32269
BambuTx252	ENSCAFG00805004394	33.77339	9	40.83236	40.05153	62.89524	12.85503	10.80483	16.94835
BambuTx254	ENSCAFG00805004473	0	0	0	0	0	0	0	0
BambuTx258	BambuGene883	7.92291	10.26654	21.5718	7.8217	11.12236	17.95369	4.15028	11.77458
BambuTx262	BambuGene887	10	4	8	4	2	3	8	2
BambuTx270	BambuGene249	50.01092	324.28845	96.04558	66.05287	78.42109	117.37448	160.48816	33.90978
BambuTx272	BambuGene249	0	176.30532	13.21587	0	0	0	2.62984	11.70475
BambuTx281	ENSCAFG00805002249	7.40588	45.27974	108.56551	41.90649	46.74498	46.59749	51.22047	35.19675
BambuTx293	ENSCAFG00805002772	25.91693	20.54167	44.62299	18	126.93592	92.06791	8	31.30679
BambuTx310	ENSCAFG00805004777	6.00689	4.77253	17.9627	76.62777	3.69717	20.36758	6.12651	24.7953
BambuTx313	ENSCAFG00805004777	0	1.59084	32.88663	16.15934	1.69899	9.32582	2.2091	7.74933
BambuTx317	ENSCAFG00805004925	419.66049	670.4539	581	1612.22634	411.05639	273.81651	769.56522	322.10802
BambuTx319	ENSCAFG00805005473	92	161	131	265	72	151	112	70
BambuTx329	BambuGene295	0	0	8.13089	0	0	0	0	0
BambuTx342	ENSCAFG00805011445	139.21288	62.26498	230.78696	363.95236	0.44148	33.70561	188.47253	40.81033
